segments,segments
0,45
3,1
4,2
5,4
6,1
10,1
11,18
12,2
13,4
14,3
15,1
16,2
17,1
19,1
20,2
21,1
22,6
23,3
24,2
26,7
27,15
28,4
30,2
32,2
34,2
35,9
36,197
38,1
39,2
40,3
41,2
42,1
45,1
46,12
47,1
49,5
50,2
52,160
55,1
56,2
57,2
58,4
59,6
60,1
63,13
64,5
65,24
67,1
70,3
71,6
74,2
76,5
77,1
78,31
80,5
82,4
83,1
84,2
85,23
86,9
87,19
88,3
89,2
90,14
91,5
92,1
93,3
95,7
96,5
97,3
98,3
99,30
100,1
101,2
102,2
104,61
105,2
106,3
107,2
108,2
109,4
110,2
111,2
112,1
113,8
114,21
116,104
117,3
118,176
119,2
120,5
122,2
123,4
124,2
125,23
126,37
127,2
128,2
130,1
131,2
132,2
134,2
136,3
137,5
138,1
139,25
141,1
143,72
144,14
145,14
146,40
148,2
149,1
150,3
151,67
152,2
153,1
154,2
155,46
156,41
157,2
158,1
159,1
160,1
162,1
163,1
164,56
165,1
166,1
167,1
168,3
169,1
170,2
173,1
174,4
176,4
178,9
179,5
180,8
181,1
182,12
183,50
185,3
186,2
189,8
190,5
191,2
192,11
193,1
194,1
195,11
196,14
198,1
199,4
200,3
201,15
202,4
203,2
205,18
207,3
208,1
209,2
210,2
211,1
212,14
214,1
217,7
219,3
221,6
223,2
225,42
226,11
229,1
231,5
232,1
233,14
234,1
235,5
236,5
237,2
239,10
240,102
241,80
243,1
245,1
246,3
251,23
252,3
253,28
254,2
255,1
256,1
257,1
258,113
260,1
261,27
262,114
263,46
264,55
265,1
266,2
268,19
269,1
271,116
274,9
275,3
277,1
278,106
280,1
281,1
282,5
284,2
285,5
287,17
288,97
289,136
290,13
291,1
293,1
295,4
297,2
299,1
