segments,segments
0,83
1,2
2,6
4,33
6,13
8,1
9,66
10,4
11,45
12,28
13,1
14,3
15,2
16,36
18,1
19,20
21,4
22,37
23,41
24,3
25,1
26,125
27,17
30,29
31,17
32,4
33,1
34,52
35,2
36,2
37,3
38,8
39,1
40,1
41,2
42,4
43,12
47,219
48,1
49,64
50,28
52,19
53,3
55,105
56,7
57,12
58,2
61,3
63,3
64,10
65,232
66,1
68,3
69,23
70,3
71,4
72,1
74,10
75,9
76,5
77,5
80,2
83,8
84,24
86,2
87,13
88,55
89,3
90,179
91,7
92,1
93,14
94,9
95,259
96,86
97,23
98,2
99,247
100,235
101,6
102,1
104,5
105,3
106,41
107,4
110,120
112,1
113,54
114,3
115,48
116,1
117,22
118,9
119,7
120,14
121,17
122,3
123,9
124,1
126,1
127,2
129,1
130,1
132,101
134,9
136,1
137,1
139,2
140,1
141,2
142,2
143,18
145,122
148,18
149,2
