#{"t_start": 1668598918.7224889, "env_id": null}
r,l,t
2.08,6,128.268997
1.88,8,128.6373
1.98,7,128.96939
1.68,10,129.397391
1.78,9,129.807707
1.48,12,130.297604
1.68,10,130.736191
0.58,21,131.517079
1.38,13,132.021071
0.78,19,132.735628
1.98,7,133.063501
1.98,7,133.413765
1.28,14,133.999493
1.98,7,134.335173
0.98,17,135.014604
1.98,7,135.368906
0.98,17,136.027505
1.58,11,136.495404
1.38,13,137.045755
2.08,6,137.356426
-2.3,23,138.15729
0.58,21,138.94281
0.78,19,139.691948
2.08,6,139.994174
0.88,18,140.679165
2.08,6,140.95604
1.78,9,141.334521
-2.4,24,142.168979
1.28,14,142.748338
0.98,17,143.402448
1.98,7,143.750086
1.78,9,144.169109
1.88,8,144.516176
1.78,9,144.935216
1.58,11,145.396342
1.58,11,145.853587
1.88,8,146.218833
-2.2,22,147.003944
1.08,16,147.645247
1.38,13,148.178596
2.08,6,148.480471
1.48,12,148.99946
1.38,13,149.528447
1.08,16,150.148503
2.08,6,150.442266
1.98,7,150.779752
-2.2,22,151.538844
1.88,8,151.878411
1.98,7,152.221823
1.38,13,152.764177
0.78,19,153.474642
2.08,6,153.770226
1.68,10,154.199091
1.38,13,154.705889
1.58,11,155.160037
2.08,6,155.451475
1.78,9,155.85339
2.08,6,156.167109
-2.3,23,156.934592
-2.4,24,157.779629
0.78,19,158.508132
1.78,9,158.898134
1.78,9,159.296855
2.08,6,159.588342
2.08,6,159.90246
1.68,10,160.341471
1.98,7,160.674253
1.98,7,160.992033
0.98,17,161.627241
1.68,10,162.044243
2.08,6,162.335237
1.98,7,162.664854
1.98,7,162.999667
1.88,8,163.362553
2.08,6,163.656228
0.98,17,164.336393
1.98,7,164.669505
-2.4,24,165.53061
1.98,7,165.868922
1.88,8,166.232426
2.08,6,166.525353
1.68,10,166.955122
1.88,8,167.312245
1.98,7,167.638899
2.08,6,167.942344
1.78,9,168.349291
1.78,9,168.745806
1.88,8,169.130431
1.78,9,169.538496
1.68,10,169.959604
1.58,11,170.424151
2.08,6,170.71853
1.98,7,171.049009
1.78,9,171.441533
0.68,20,172.209154
2.08,6,172.510013
2.08,6,172.798323
1.88,8,173.157729
2.08,6,173.44271
0.98,17,174.105927
-0.12,28,175.126002
1.68,10,175.578789
2.08,6,175.878917
1.98,7,176.213957
1.78,9,176.597143
1.58,11,177.05074
0.88,18,177.733162
1.18,15,178.346543
1.98,7,178.673888
1.88,8,179.017035
1.78,9,179.410031
1.98,7,179.74365
-2.3,23,180.541901
2.08,6,180.844207
1.98,7,181.179568
2.08,6,181.481257
2.08,6,181.768486
1.68,10,182.21788
1.98,7,182.549881
1.68,10,183.000285
-2.2,22,183.760978
2.08,6,184.052684
1.28,14,184.609709
1.38,13,185.161544
1.88,8,185.530281
1.78,9,185.930309
1.78,9,186.330418
2.08,6,186.640605
1.48,12,187.123722
1.98,7,187.460209
2.08,6,187.763592
1.58,11,188.218372
1.98,7,188.552216
2.08,6,188.851478
0.98,17,189.524605
1.48,12,190.014369
2.08,6,190.279611
1.18,15,190.858959
1.78,9,191.266764
2.08,6,191.55907
2.08,6,191.863605
1.98,7,192.191101
1.68,10,192.63012
1.98,7,192.96035
2.08,6,193.260602
1.08,16,193.906531
1.28,14,194.463181
2.08,6,194.787187
1.98,7,195.114767
2.08,6,195.423515
1.48,12,195.906692
1.88,8,196.275357
2.08,6,196.583876
2.08,6,196.880232
1.78,9,197.280768
1.38,13,197.810526
1.38,13,198.343674
1.98,7,198.673392
0.98,17,199.315463
2.08,6,199.581393
2.08,6,199.876186
1.78,9,200.274044
1.28,14,200.835965
2.08,6,201.138089
-2.3,23,201.919596
1.98,7,202.242261
1.88,8,202.612663
2.08,6,202.912013
1.48,12,203.421181
-2.1,21,204.157069
0.68,20,204.896914
-2.5,25,205.773487
2.08,6,206.067058
-2.2,22,206.835451
2.08,6,207.127005
1.08,16,207.753533
2.08,6,208.04582
1.28,14,208.602363
1.98,7,208.939662
2.08,6,209.243396
1.28,14,209.812593
1.88,8,210.1891
1.28,14,210.738707
1.88,8,211.09774
1.38,13,211.630974
1.68,10,212.04907
2.08,6,212.340412
1.98,7,212.669798
1.48,12,213.164966
1.88,8,213.533352
2.08,6,213.833433
-2.2,22,214.60065
2.08,6,214.895531
1.98,7,215.233308
2.08,6,215.540323
1.98,7,215.874983
-2.6,26,216.768995
1.48,12,217.23989
1.98,7,217.566259
1.48,12,218.075768
1.98,7,218.409216
2.08,6,218.709667
2.08,6,219.014576
1.18,15,219.635929
1.48,12,220.14483
2.08,6,220.442052
1.88,8,220.811811
1.68,10,221.244479
2.08,6,221.558592
1.38,13,222.074624
2.08,6,222.378876
0.88,18,223.057235
-2.4,24,223.936209
1.98,7,224.260255
2.08,6,224.568003
2.08,6,224.862875
-2.5,25,225.751376
0.68,20,226.512275
2.08,6,226.784457
1.98,7,227.115094
1.98,7,227.440399
1.18,15,228.024838
2.08,6,228.305211
1.98,7,228.628503
2.08,6,228.938775
0.68,20,229.698729
1.98,7,230.035585
2.08,6,230.326451
1.68,10,230.75708
1.98,7,231.078913
1.98,7,231.41453
1.48,12,231.896801
0.98,17,232.553767
1.48,12,233.048156
2.08,6,233.357998
0.58,21,234.148355
1.18,15,234.739352
2.08,6,235.043388
1.88,8,235.402151
1.98,7,235.742705
2.08,6,236.042457
0.68,20,236.798326
1.08,16,237.41521
1.38,13,237.945048
2.08,6,238.239578
1.98,7,238.578925
2.08,6,238.876342
-2.4,24,239.713479
1.98,7,240.051773
0.68,20,240.786832
2.08,6,241.088216
