segments,segments
0,1
1,31
2,3
3,1
4,2
6,3
7,1
8,2
9,501
10,826
14,1
16,3
17,5
18,1
19,105
21,8
22,108
23,12
24,1
25,2
27,2
29,2
30,5
31,1
32,2
33,55
34,2
35,2
36,12
37,2
38,70
39,16
43,1
45,6
46,2
48,2
49,109
54,1
55,3
56,1
57,204
59,3
60,5
61,1
64,9
65,8
67,2
68,1
70,2
71,1
73,1
75,2
76,1
77,5
78,2
80,24
82,2
84,1
85,263
88,433
89,1
91,5
92,4
93,1
95,41
96,1
97,1
98,5
99,478
100,1
103,1
105,3
106,3
107,2
108,1
110,3
113,5
114,11
116,3
117,1
119,1
120,1
122,1
123,1
125,1
126,297
127,1
128,105
129,58
132,1
133,4
134,5
135,1
136,15
137,1
138,37
139,3
140,1
141,4
143,370
144,5
145,1
146,1
147,1
148,4
149,2
151,107
152,18
153,1
154,4
156,85
158,39
159,12
160,1
161,21
162,4
164,6
165,4
166,1
167,1
168,6
169,1
170,2
173,3
175,20
176,11
177,15
179,2
180,7
182,5
183,11
188,5
190,49
191,3
192,311
195,3
196,18
198,4
199,101
200,2
201,2
203,3
204,3
205,1
208,2
209,36
211,9
212,2
213,2
215,41
216,2
217,64
219,1
220,1
224,2
225,5
227,1
229,1
230,1
231,2
232,2
233,8
235,6
236,10
238,1
239,36
240,16
241,4
242,7
245,104
246,5
247,17
248,1
249,2
250,4
252,4
253,1
254,1
256,1
257,77
258,5
259,6
260,5
261,8
264,3
270,2
271,1
272,1
274,1
277,3
278,37
281,11
282,3
283,1
285,1
286,3
287,4
288,28
289,3
292,8
293,3
295,2
297,2
298,3
299,7
