segments,segments
1,56
2,27
3,4
4,33
6,1
7,23
9,6
10,182
11,28
12,8
13,6
15,1
16,41
17,26
18,1
19,56
21,1
22,120
24,4
27,4
29,62
30,24
31,195
32,12
33,808
34,51
35,109
36,3
37,1
38,370
39,14
43,1
45,1
46,2
47,11
49,399
50,7
52,182
55,61
57,16
58,3
60,5
63,4
64,2
65,14
67,22
70,2
71,168
75,3
76,3
77,100
79,4
80,2
82,1
83,20
85,67
86,18
87,1
88,143
91,93
92,5
93,1
94,2
95,271
96,9
98,78
99,551
101,24
103,1
104,246
105,3
106,187
108,17
112,53
114,1
115,12
116,7
117,171
119,142
120,31
121,174
122,26
124,2
126,2
127,1
128,54
132,4
133,1
135,6
136,4
138,3
140,210
142,1
143,1
145,26
147,6
148,4
149,1
