segments,segments
0,3
1,3
2,6
3,7
4,7
5,5
6,6
7,3
8,4
9,9
10,4
12,4
13,1
14,7
15,4
16,5
17,5
18,1
19,2
21,6
22,8
23,11
25,6
26,16
27,10
28,3
29,3
31,6
32,9
33,2
34,1
35,3
36,2
37,6
38,7
39,8
40,7
41,7
42,14
44,6
45,1
47,15
48,5
49,2
50,8
51,3
52,32
53,2
55,28
56,2
57,12
58,1
60,3
61,2
63,1
64,3
65,1
66,1
67,2
68,1
69,7
70,9
71,4
73,4
74,4
75,1
76,10
77,10
78,4
79,4
80,3
81,13
82,8
83,1
84,5
85,21
87,6
88,1
89,6
90,7
91,3
92,14
93,4
94,6
95,7
96,2
97,8
99,3
100,3
101,1
104,2
105,5
106,1
107,3
109,1
110,6
111,1
112,3
113,2
115,2
117,2
118,6
119,16
120,10
121,11
122,10
123,1
124,3
125,2
126,2
127,1
128,3
129,7
130,23
131,1
132,3
133,2
134,4
135,1
136,2
137,6
138,9
140,2
141,2
142,1
145,6
147,3
