segments,segments
0,187
1,247
2,3
3,189
4,144
5,2
6,44
7,3
9,298
10,2
12,330
13,4
14,199
15,135
16,7
17,113
18,2
19,3
20,1
21,2
22,29
23,27
24,1
25,45
26,73
27,398
28,265
29,13
30,11
33,29
34,106
35,180
36,172
37,12
38,7
40,1
41,257
42,1
43,25
44,3
45,2
46,35
47,182
48,3
49,61
50,2
51,60
52,86
53,1
54,6
56,6
57,74
58,1
59,1
60,147
62,107
63,72
66,34
67,47
68,20
69,102
71,1
73,27
74,29
75,66
76,59
77,31
78,4
