counter_done,agent,counter_done_max_changes,reward_game,representation,done_penalty,counter_changes,reward_experience_bonus,entropy,reward,changes_penalty,piece_penalty,discount_reward,done_bonus,is_done_success,segments,discount_rewards,rewards_sum,experience_bonus,historical,bonus_factor,counter_done_interations,entropy_map
26,,0,0.0,narrow-puzzle,,6,2.6197320000000004,2.2516291673878226,2.58,,0,,10.0,True,[18 29 29 28 39 16],2.269662008923667,2.08,1.0154,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([18], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([28], dtype=int64), array([39], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9520402801398791
27,,0,0.0,narrow-puzzle,,6,2.620248,1.9182958340544893,2.58,,0,,0.0,True,[18 29 16 16 29 17],2.269662008923667,2.08,1.0156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([18], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9668100575025925
28,,0,0.0,narrow-puzzle,,6,2.6207640000000003,1.7924812503605778,2.58,,0,,0.0,True,[24 29 29 29 17 39],2.269662008923667,2.08,1.0158,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([24], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([39], dtype=int64)]}",3.188521078284832,0,0.9487499032694517
29,,0,0.0,narrow-puzzle,,6,2.62128,1.4591479170272448,2.58,,0,,0.0,True,[29 17 17 29 17 16],2.269662008923667,2.08,1.016,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9991567090571561
30,,0,0.0,narrow-puzzle,,6,2.6217960000000002,1.2516291673878228,2.58,,0,,0.0,True,[17 17 17 18 17 39],2.269662008923667,2.08,1.0162,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([39], dtype=int64)]}",3.188521078284832,0,0.9941825069613696
31,,0,0.0,narrow-puzzle,,6,2.622312,0.9182958340544896,2.58,,0,,0.0,True,[29 16 29 16 29 29],2.269662008923667,2.08,1.0164,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9095106630291534
32,,0,0.0,narrow-puzzle,,6,2.622828,1.4591479170272448,2.58,,0,,0.0,True,[29 17 16 17 29 17],2.269662008923667,2.08,1.0166,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9991567090571561
33,,0,0.0,narrow-puzzle,,6,2.623344,1.9182958340544893,2.58,,0,,0.0,True,[29 18 29 17 16 17],2.269662008923667,2.08,1.0168,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9896469097488854
34,,0,0.0,narrow-puzzle,,6,2.6238599999999996,1.0,2.58,,0,,0.0,True,[29 29 17 17 17 29],2.269662008923667,2.08,1.017,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9981021327390103
35,,0,0.0,narrow-puzzle,,6,2.6243760000000003,1.4591479170272448,2.58,,0,,0.0,True,[17 17 16 17 29 16],2.269662008923667,2.08,1.0172,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9997892080780693
36,,0,0.0,narrow-puzzle,,6,2.6248920000000004,2.2516291673878226,2.58,,0,,10.0,True,[17 39 16 18 29 17],2.269662008923667,2.08,1.0174,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.990374836448575
37,,0,0.0,narrow-puzzle,,6,2.625408,1.9182958340544893,2.58,,0,,0.0,True,[17 29 16 17 29 18],2.269662008923667,2.08,1.0176,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9896469097488854
38,,0,0.0,narrow-puzzle,,6,2.6259240000000004,1.7924812503605778,2.58,,0,,0.0,True,[16 17 29 16 14 16],2.269662008923667,2.08,1.0178,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.97663491144401
39,,0,0.0,narrow-puzzle,,6,2.62644,1.792481250360578,2.58,,0,,0.0,True,[28 16 17 29 29 29],2.269662008923667,2.08,1.018,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([28], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9777400283311706
40,,0,0.0,narrow-puzzle,,6,2.626956,1.7924812503605778,2.58,,0,,0.0,True,[17 29 29 29 16 18],2.269662008923667,2.08,1.0182,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.961236604722876
41,,0,0.0,narrow-puzzle,,6,2.627472,1.9182958340544893,2.58,,0,,0.0,True,[17 29 29 17 16 18],2.269662008923667,2.08,1.0184,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9896469097488854
42,,0,0.0,narrow-puzzle,,6,2.6279879999999998,1.2516291673878228,2.58,,0,,0.0,True,[29 16 17 17 17 17],2.269662008923667,2.08,1.0186,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9957274520849256
43,,0,0.0,narrow-puzzle,,6,2.628504,1.9182958340544893,2.58,,0,,0.0,True,[29 18 16 29 16 17],2.269662008923667,2.08,1.0188,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9668100575025925
44,,0,0.0,narrow-puzzle,,6,2.6290199999999997,1.584962500721156,2.58,,0,,0.0,True,[17 17 18 18 29 29],2.269662008923667,2.08,1.019,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9910760598382222
45,,0,0.0,narrow-puzzle,,6,2.6295360000000003,0.6500224216483541,2.58,,0,,0.0,True,[17 17 29 17 17 17],2.269662008923667,2.08,1.0192,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9788179629263809
46,,0,0.0,narrow-puzzle,,6,2.6300520000000005,1.2516291673878228,2.58,,0,,0.0,True,[24 29 29 39 29 29],2.269662008923667,2.08,1.0194,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([24], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.8954296333667611
47,,0,0.0,narrow-puzzle,,6,2.6305680000000002,1.584962500721156,2.58,,0,,0.0,True,[17 29 16 16 17 29],2.269662008923667,2.08,1.0196,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9881108365218301
48,,0,0.0,narrow-puzzle,,6,2.631084,1.584962500721156,2.58,,0,,0.0,True,[16 17 17 29 16 29],2.269662008923667,2.08,1.0198,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9881108365218301
49,,0,0.0,narrow-puzzle,,6,2.6316,1.4591479170272446,2.58,,0,,0.0,True,[14 17 17 29 17 29],2.269662008923667,2.08,1.02,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([14], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9999473039445343
50,,0,0.0,narrow-puzzle,,6,2.632116,1.7924812503605778,2.58,,0,,0.0,True,[29 17 29 16 29 24],2.269662008923667,2.08,1.0202,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([24], dtype=int64)]}",3.188521078284832,0,0.9536431321552503
51,,0,0.0,narrow-puzzle,,6,2.632632,1.584962500721156,2.58,,0,,0.0,True,[29 16 17 29 16 17],2.269662008923667,2.08,1.0204,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9881108365218301
52,,0,0.0,narrow-puzzle,,6,2.633148,1.2516291673878228,2.58,,0,,0.0,True,[10 29 29 29 17 29],2.269662008923667,2.08,1.0206,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([10], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.956764490628274
53,,0,0.0,narrow-puzzle,,6,2.633664,1.2516291673878228,2.58,,0,,0.0,True,[17 29 29 29 29 18],2.269662008923667,2.08,1.0208,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9552178476322735
54,,0,0.0,narrow-puzzle,,6,2.6341799999999997,1.4591479170272448,2.58,,0,,0.0,True,[17 17 16 29 29 29],2.269662008923667,2.08,1.021,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.984716982408986
55,,0,0.0,narrow-puzzle,,6,2.634696,1.0,2.58,,0,,0.0,True,[17 29 29 17 17 29],2.269662008923667,2.08,1.0211999999999999,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9981021327390103
56,,0,0.0,narrow-puzzle,,6,2.635212,1.2516291673878228,2.58,,0,,0.0,True,[29 18 17 29 29 29],2.269662008923667,2.08,1.0214,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9552178476322735
57,,0,0.0,narrow-puzzle,,6,2.6357280000000003,1.7924812503605778,2.58,,0,,0.0,True,[29 39 17 17 17 16],2.269662008923667,2.08,1.0216,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([39], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9993543848687498
58,,0,0.0,narrow-puzzle,,6,2.636244,1.2516291673878228,2.58,,0,,0.0,True,[29 16 17 29 29 29],2.269662008923667,2.08,1.0218,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9520402801398791
59,,0,0.0,narrow-puzzle,,6,2.63676,1.2516291673878228,2.58,,0,,0.0,True,[29 29 29 39 17 29],2.269662008923667,2.08,1.022,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9470622432515329
60,,0,0.0,narrow-puzzle,,6,2.637276,1.4591479170272446,2.58,,0,,0.0,True,[17 18 29 17 17 29],2.269662008923667,2.08,1.0222,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9995256892936493
61,,0,0.0,narrow-puzzle,,6,2.637792,0.9182958340544896,2.58,,0,,0.0,True,[29 29 17 17 29 29],2.269662008923667,2.08,1.0224,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.980892449782821
62,,0,0.0,narrow-puzzle,,6,2.638308,1.7924812503605778,2.58,,0,,0.0,True,[18 39 29 18 16 18],2.269662008923667,2.08,1.0226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([18], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9400268145666587
63,,0,0.0,narrow-puzzle,,6,2.638824,1.9182958340544893,2.58,,0,,0.0,True,[17 29 18 29 18 28],2.269662008923667,2.08,1.0228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([28], dtype=int64)]}",3.188521078284832,0,0.9856057373450678
